,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Avarua,CK,-21.2078,-159.775,77.05,94,100,14.97,moderate rain
292,Bombay,IN,19.0144,72.8479,85.89,34,2,8.05,smoke
293,Kenai,US,60.5544,-151.2583,35.69,87,100,19.57,light snow
294,Pangnirtung,CA,66.1451,-65.7125,-21.91,84,75,5.99,broken clouds
295,Hami,CN,42.8,93.45,25.74,44,65,2.1,broken clouds
296,Sattahip,TH,12.6664,100.9007,86.09,51,92,5.75,overcast clouds
297,Magadan,RU,59.5667,150.8,7.32,78,100,17.87,overcast clouds
298,Naze,JP,28.3667,129.4833,59.92,63,40,11.61,scattered clouds
299,Castro,BR,-24.7911,-50.0119,60.93,96,8,3.44,clear sky
300,Taksimo,RU,56.3444,114.8794,0.75,78,63,2.3,broken clouds
301,Saint-Pierre,RE,-21.3393,55.4781,83.88,61,0,8.05,clear sky
302,Touros,BR,-5.1989,-35.4608,76.8,85,99,9.31,overcast clouds
303,Mayo,US,38.8876,-76.5119,51.51,91,20,0.0,mist
304,Purificacion,CO,3.8587,-74.9313,71.1,90,40,1.03,scattered clouds
305,Ixtapa,MX,20.7,-105.2,70.23,84,8,3.71,clear sky
306,Nanortalik,GL,60.1432,-45.2371,6.62,70,1,14.81,clear sky
307,Kloulklubed,PW,7.0419,134.2556,81.1,75,100,21.43,light rain
308,Wanning,CN,18.8003,110.3967,66.45,81,100,16.33,overcast clouds
309,Aksarka,RU,66.5606,67.7975,-14.8,98,100,8.9,light snow
310,Semey,KZ,50.4111,80.2275,8.82,78,0,6.71,clear sky
311,Chippewa Falls,US,44.9369,-91.3929,24.98,93,100,6.91,mist
312,Zhangzhou,CN,24.5133,117.6556,66.13,51,20,7.67,few clouds
313,Peniche,PT,39.3558,-9.3811,49.93,63,82,11.54,broken clouds
314,Pangody,RU,65.85,74.4859,-28.91,99,41,7.36,scattered clouds
315,Yicheng,CN,31.3705,119.8703,47.62,60,100,2.91,overcast clouds
316,Srednekolymsk,RU,67.45,153.6833,-36.63,99,99,4.85,overcast clouds
317,Hobyo,SO,5.3505,48.5268,81.05,67,25,24.52,scattered clouds
318,Portland,US,45.5234,-122.6762,40.08,91,0,5.99,clear sky
319,Pierre,US,44.3683,-100.351,23.92,93,20,0.0,few clouds
320,Alihe,CN,50.5667,123.7167,9.03,68,23,4.45,few clouds
321,Kyabram,AU,-36.3167,145.05,84.87,45,54,17.67,broken clouds
322,Atar,MR,20.5169,-13.0499,66.24,23,0,8.86,clear sky
323,Macas,EC,-2.3167,-78.1167,66.65,99,100,1.28,light rain
324,Ginda,IN,30.6945,78.4932,54.45,18,0,6.53,clear sky
325,Kindu,CD,-2.95,25.95,71.73,94,99,2.13,overcast clouds
326,Tromso,NO,69.6496,18.957,35.62,87,75,14.97,light snow
327,Port Moresby,PG,-9.4431,147.1797,92.62,49,20,17.27,haze
328,Mount Gambier,AU,-37.8333,140.7667,70.14,57,5,12.1,clear sky
329,Cabo San Lucas,MX,22.8909,-109.9124,69.51,77,4,5.01,clear sky
330,Birin,NP,26.8865,88.0718,56.7,41,9,5.75,clear sky
331,Cayenne,GF,4.9333,-52.3333,73.44,94,100,5.75,overcast clouds
332,Namibe,AO,-15.1961,12.1522,72.81,73,97,2.86,overcast clouds
333,Simbahan,PH,6.3032,120.5836,81.82,77,71,13.06,broken clouds
334,Nemuro,JP,43.3236,145.575,22.44,46,65,23.73,broken clouds
335,Khuzhir,RU,53.1939,107.3397,10.83,87,85,3.38,overcast clouds
336,Verrettes,HT,19.05,-72.4667,70.16,91,1,3.69,clear sky
337,Prieska,ZA,-29.6641,22.7474,82.13,36,0,12.06,clear sky
338,Nalut,LY,30.3333,10.85,45.68,47,0,9.37,clear sky
339,Bamiantong,CN,44.9333,130.5333,7.74,74,2,15.75,clear sky
