City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Humberto De Campos,BR,74.19,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
621,Ngunguru,NZ,65.86,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
622,Sabinas,MX,63.57,clear sky,27.85,-101.1167,Hotel San Jose
623,Manaus,BR,77.49,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
625,Lethem,GY,74.44,overcast clouds,3.3803,-59.7968,Savannah Inn
627,Ormara,PK,75.58,clear sky,25.2088,64.6357,Kenara Colony House for Rent
630,Oistins,BB,77.09,light rain,13.0667,-59.5333,Butterfly Beach Hotel
632,Sao Felix Do Xingu,BR,69.39,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
635,Larap,PH,78.73,broken clouds,14.299,122.6504,Montemayor Cove
652,Marsh Harbour,BS,75.11,clear sky,26.5412,-77.0636,Abaco Beach Resort
655,Akom,CM,72.72,few clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
658,Harper,LR,74.93,clear sky,4.375,-7.7169,Screensaver
663,Pedernales,DO,74.71,clear sky,18.0384,-71.744,Hotel Costa Marina
665,Sao Mateus,BR,70.59,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
666,Broadford,AU,78.3,moderate rain,-37.2,145.0667,Sugarloaf Motel
669,Acarau,BR,78.21,overcast clouds,-2.8856,-40.12,castelo pizzaria
670,Sao Luiz Gonzaga,BR,70.77,overcast clouds,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
672,Sao Joao Da Barra,BR,71.2,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
682,Tucurui,BR,72.82,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
684,Puerto Baquerizo Moreno,EC,71.35,clear sky,-0.9,-89.6,Hotel los Algarrobos
688,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
689,Lucea,JM,72.86,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
690,Malanje,AO,64.9,overcast clouds,-9.5402,16.341,Hotel Ginga
692,Along,IN,72.81,scattered clouds,28.1667,94.7667,Hotel West
696,Manaure,CO,75.25,clear sky,11.7751,-72.4445,Hotel Palaaima
698,Marau,BR,67.28,overcast clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
